Issue,Issue Number,Issue Title,Series Start Year,Issue Published Year,TBP,Availability,Storyline,Story Order,Status,cover_image_url
"Superman's Pal, Jimmy Olsen",136,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,4,,
"Superman's Pal, Jimmy Olsen",137,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,5,,
"Superman's Pal, Jimmy Olsen",138,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,6,,
"Superman's Pal, Jimmy Olsen",139,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,7,,
The Forever People,1,,1971,1970,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,8,,
"Superman's Pal, Jimmy Olsen",141,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,9,,
"Superman's Pal, Jimmy Olsen",142,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,10,,
"Superman's Pal, Jimmy Olsen",143,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,11,,
"Superman's Pal, Jimmy Olsen",144,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,12,,
"Superman's Pal, Jimmy Olsen",145,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,13,,
"Superman's Pal, Jimmy Olsen",146,,1954,1971,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,14,,
"Superman's Pal, Jimmy Olsen",147,,1954,1972,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,15,,
"Superman's Pal, Jimmy Olsen",148,,1954,1972,"Superman's Pal, Jimmy Olsen by Jack Kirby TP",Hoopla,Fourth World Origins,16,,
The Forever People,2,,1971,1971,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,17,,
The Forever People,3,,1971,1971,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,18,,
The Forever People,4,,1971,1971,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,19,,
The Forever People,5,,1971,1971,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,20,,
The Forever People,6,,1971,1971,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,21,,
The Forever People,7,,1971,1971,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,22,,
The Forever People,8,,1971,1972,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,23,,
New Gods,1,,1971,1970,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,24,,
New Gods,2,,1971,1971,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,25,,
New Gods,3,,1971,1971,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,26,,
New Gods,4,,1971,1971,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,27,,
New Gods,5,,1971,1971,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,28,,
New Gods,6,,1971,1971,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,29,,
Mister Miracle,1,,1971,1971,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,30,,
Mister Miracle,2,,1971,1971,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,31,,
Mister Miracle,3,,1971,1971,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,32,,
Mister Miracle,4,,1971,1971,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,33,,
Mister Miracle,5,,1971,1971,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,34,,
Mister Miracle,6,,1971,1971,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,35,,
The Forever People,9,,1971,1972,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,36,,
The Forever People,10,,1971,1972,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,37,,
The Forever People,11,,1971,1972,The Forever People by Jack Kirby TP,Hoopla,Fourth World Origins,38,,
New Gods,7,,1971,1972,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,39,,
New Gods,8,,1971,1972,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,40,,
New Gods,9,,1971,1972,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,41,,
New Gods,10,,1971,1972,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,42,,
New Gods,11,,1971,1972,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,43,,
Mister Miracle,7,,1971,1972,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,44,,
Mister Miracle,8,,1971,1972,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,45,,
Mister Miracle,9,,1971,1972,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,46,,
Mister Miracle,10,,1971,1972,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,47,,
Mister Miracle,11,,1971,1972,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,48,,
Mister Miracle,12,,1971,1973,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,49,,
Mister Miracle,13,,1971,1973,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,50,,
Mister Miracle,14,,1971,1973,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,51,,
